nms,dataset,var,time,stat,value
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-06-01T00:00:00Z,mean,5.089441324802155
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-06-01T00:00:00Z,sd,3.50360863560844
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-07-01T00:00:00Z,mean,5.094490514790758
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-07-01T00:00:00Z,sd,3.5061081911112324
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-08-01T00:00:00Z,mean,5.24177414004473
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-08-01T00:00:00Z,sd,3.6726521329830177
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-09-01T00:00:00Z,mean,5.308816162671181
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-09-01T00:00:00Z,sd,3.8096763030260665
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-10-01T00:00:00Z,mean,5.231862767104139
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-10-01T00:00:00Z,sd,3.7639289585561824
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-11-01T00:00:00Z,mean,5.098090400245596
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-11-01T00:00:00Z,sd,3.5313189564155136
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-12-01T00:00:00Z,mean,4.991434053696216
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-12-01T00:00:00Z,sd,3.422400723918602
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-01-01T00:00:00Z,mean,5.0503256863102
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-01-01T00:00:00Z,sd,3.479685693551766
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-02-01T00:00:00Z,mean,4.944931637257971
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-02-01T00:00:00Z,sd,3.365988970709593
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-03-01T00:00:00Z,mean,4.765171123311875
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-03-01T00:00:00Z,sd,3.197600129703174
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-04-01T00:00:00Z,mean,4.709287187203448
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-04-01T00:00:00Z,sd,3.1290237672323267
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-05-01T00:00:00Z,mean,4.609659188446846
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-05-01T00:00:00Z,sd,2.9757872056360384
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-06-01T00:00:00Z,mean,4.804645191957342
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-06-01T00:00:00Z,sd,3.1847416890052926
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-07-01T00:00:00Z,mean,4.943388829205898
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-07-01T00:00:00Z,sd,3.3412013268036502
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-08-01T00:00:00Z,mean,5.144639568442994
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-08-01T00:00:00Z,sd,3.578398609077882
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-09-01T00:00:00Z,mean,5.101020177152563
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-09-01T00:00:00Z,sd,3.539134636062347
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-10-01T00:00:00Z,mean,5.037578039980949
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-10-01T00:00:00Z,sd,3.5067337329177084
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-11-01T00:00:00Z,mean,5.095659308769601
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-11-01T00:00:00Z,sd,3.5787904752289235
